TERYT Gminy,Gmina,Liczba wyborców uprawnionych do głosowania,Liczba głosów ważnych,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
121114,gm. Szaflary,8357,4720,100,402,92,2816,503,503,304,0,0,0,0,0
121201,m. Bukowno,7587,5467,100,728,782,1898,382,1499,78,0,0,0,0,0
121203,gm. Bolesław,6112,4278,78,582,614,1475,362,1096,71,0,0,0,0,0
121204,gm. Klucze,11604,8662,171,1241,868,3313,611,2322,136,0,0,0,0,0
121205,gm. Olkusz,35989,27155,435,4045,2872,10967,1806,6619,411,0,0,0,0,0
121206,gm. Trzyciąż,5545,4080,80,665,190,2352,319,397,77,0,0,0,0,0
121207,gm. Wolbrom,17313,12599,622,1756,891,6004,942,2209,175,0,0,0,0,0
121301,m. Oświęcim,27761,20758,553,2864,2218,6656,1227,6966,274,0,0,0,0,0
121302,gm. Brzeszcze,15783,12109,245,1442,1102,4978,763,3350,229,0,0,0,0,0
121303,gm. Chełmek,9582,7050,152,821,489,2749,536,2186,117,0,0,0,0,0
121304,gm. Kęty,25369,19136,323,2667,1018,7478,1422,5678,550,0,0,0,0,0
121305,gm. Osiek,6338,4642,109,802,278,2170,392,828,63,0,0,0,0,0
121306,gm. Oświęcim,14635,11535,333,1676,1081,4429,746,3091,179,0,0,0,0,0
121307,gm. Polanka Wielka,3324,2581,58,514,130,1133,227,501,18,0,0,0,0,0
121308,gm. Przeciszów,5122,3792,75,526,390,1564,275,904,58,0,0,0,0,0
121309,gm. Zator,7147,5222,101,853,322,2282,372,1211,81,0,0,0,0,0
121401,gm. Koniusza,6938,4753,66,815,182,2581,494,552,63,0,0,0,0,0
121402,gm. Koszyce,4305,2725,27,507,141,1564,204,254,28,0,0,0,0,0
121403,gm. Nowe Brzesko,4483,3136,48,561,112,1755,248,356,56,0,0,0,0,0
121404,gm. Pałecznica,2778,1816,16,506,38,1031,117,91,17,0,0,0,0,0
121405,gm. Proszowice,12615,8780,87,1881,393,4321,691,1230,177,0,0,0,0,0
121406,gm. Radziemice,2623,1725,24,361,53,988,154,118,27,0,0,0,0,0
121501,m. Jordanów,3956,2832,35,569,129,1240,256,534,69,0,0,0,0,0
121502,m. Sucha Beskidzka,7195,5268,55,644,287,1912,417,1862,91,0,0,0,0,0
121503,gm. Budzów,6581,4464,78,560,156,2507,435,638,90,0,0,0,0,0
121504,gm. Bystra-Sidzina,5198,3338,58,440,115,1906,353,389,77,0,0,0,0,0
121505,gm. Jordanów,8403,5795,90,741,191,3457,588,581,147,0,0,0,0,0
121506,gm. Maków Podhalański,12210,8607,135,1160,326,4225,786,1732,243,0,0,0,0,0
121507,gm. Stryszawa,9307,6806,91,736,383,3554,601,1300,141,0,0,0,0,0
121508,gm. Zawoja,7039,5005,63,636,189,2649,410,944,114,0,0,0,0,0
121509,gm. Zembrzyce,4286,3049,59,400,126,1419,267,701,77,0,0,0,0,0
121601,gm. Ciężkowice,8534,5655,97,1013,159,3303,379,599,105,0,0,0,0,0
121602,gm. Gromnik,6627,4362,62,512,112,2893,326,317,140,0,0,0,0,0
121603,gm. Lisia Góra,11619,8156,132,1292,226,4576,713,973,244,0,0,0,0,0
121604,gm. Pleśna,9162,6300,89,1025,193,3547,468,805,173,0,0,0,0,0
121605,gm. Radłów,7315,4812,80,800,177,2687,384,576,108,0,0,0,0,0
121606,gm. Ryglice,8784,5841,108,754,172,3496,544,600,167,0,0,0,0,0
121607,gm. Rzepiennik Strzyżewski,5126,3625,70,418,72,2406,337,209,113,0,0,0,0,0
121608,gm. Skrzyszów,10966,7726,126,1180,251,4258,662,1082,167,0,0,0,0,0
121609,gm. Tarnów,19925,14575,196,2848,589,6968,1118,2519,337,0,0,0,0,0
121610,gm. Tuchów,13389,9136,149,1344,287,5329,717,992,318,0,0,0,0,0
121611,gm. Wierzchosławice,8209,5851,83,1092,232,2932,499,869,144,0,0,0,0,0
121612,gm. Wietrzychowice,3051,1692,55,383,37,932,118,137,30,0,0,0,0,0
121613,gm. Wojnicz,10128,7124,120,1136,228,3889,646,914,191,0,0,0,0,0
121614,gm. Zakliczyn,9478,6470,96,931,189,3818,589,662,185,0,0,0,0,0
121615,gm. Żabno,14528,9449,160,1909,315,5004,689,1183,189,0,0,0,0,0
121616,gm. Szerzyny,5973,3997,74,496,88,2682,329,228,100,0,0,0,0,0
121701,m. Zakopane,24546,18836,423,2458,978,6602,1401,6111,863,0,0,0,0,0
121702,gm. Biały Dunajec,5677,3526,66,386,92,2096,311,376,199,0,0,0,0,0
